Team,Needs,Context,Year
Utah Jazz,"PG, SG","Utah still has no natural point guard, and scoring on the wing remains inconsistent. They need a play‑making guard and perimeter shooter.",2013
Washington Wizards,"SF, PF","With Wall and Beal set, Washington must add a spot‑up shooter at small forward and size at power forward for bench balance.",2013
Charlotte Bobcats,"SF, PF","Anthony Davis is the most ideal prospect and after going 7–59, the Bobcats deserve the No. 1 pick. Davis's combination of size and athleticism will work at either forward spot and improve Charlotte's offense, rebounding and interior defense.",2012
Washington Wizards,"SG, SF","The Wizards can go a few directions here: a shooting guard or small forward would suffice. Kansas power forward Thomas Robinson, however, is the best solution—he can grab boards and help improve the defense, creating more opportunities for Washington’s talented backcourt.",2012
New Orleans Hornets,"SF, SG","With a few positional options available, the Hornets can decide between Harrison Barnes and Michael Kidd‑Gilchrist. Barnes is the safer bet as he’s more polished on the perimeter, but New Orleans is essentially splitting hairs when comparing their all‑around upside.",2012
Cleveland Cavaliers,"SG, SF","Point guard Kyrie Irving needs a reliable shooting guard to feed—and Bradley Beal fits perfectly, with his deep shooting range and solid defense. Adding Beal would also relieve pressure on Cleveland’s frontcourt.",2012
Sacramento Kings,"C, PG","Sacramento won’t fill its point‑guard need until later, so the Kings should address the frontcourt first. A center like Andre Drummond brings size to compete in the paint and shore up their interior defense around DeMarcus Cousins.",2012
Brooklyn Nets,"PG, SF","Without a first‑round pick, the Nets must maximize Round Two. A point guard like Tu Holloway provides lane‑driving playmaking and solid defense, while a wing like Hollis Thompson or Xavier Henry would bolster Brooklyn’s perimeter scoring.",2012
Golden State Warriors,"SG, SF","Golden State could snag Michael Kidd‑Gilchrist if Harrison Barnes is gone, but they really need a stud shooting guard to buttress their defense and kick‑start the transition game alongside Curry and Thompson.",2012
Toronto Raptors,"SG, SF","Toronto needs perimeter scoring and two‑way wing play. Prospects like Austin Rivers or Jeremy Lamb would immediately help at shooting guard, and either could slide to small forward in a pinch.",2012
Detroit Pistons,"PF, SG","Detroit must augment its forward rotation and add wing scoring. Terrence Jones offers court awareness at small forward, and his size allows the Pistons to match up physically.",2012
Minnesota Timberwolves,"SG, C","Minnesota’s backcourt needs punch and their frontline needs size. Dion Waiters addresses the scoring guard void, while a center prospect would bolster interior defense alongside Kevin Love.",2012
Portland Trail Blazers,"C, PF","With holes at multiple spots, Portland should target frontcourt talent. A center like Jared Sullinger complements LaMarcus Aldridge, and a power forward adds depth behind Greg Oden and J.J. Hickson.",2012
Milwaukee Bucks,"PF, C","A multidimensional forward like John Henson would bring scoring and defense to the Bucks, while a true center secures the paint after losing Andrew Bogut in free agency.",2012
Phoenix Suns,"PG, PF",Phoenix needs a lead guard to replace Steve Nash—prospects like Austin Rivers or Damian Lillard fit—and a power forward to add frontcourt scoring and rebounding.,2012
Houston Rockets,"PG, C","Houston can take the best available player in Round One, but their top needs are point guard depth and interior size. A prospect like Kendall Marshall for playmaking or Tyler Zeller for frontcourt toughness would help.",2012
Philadelphia 76ers,"PF, C",The Sixers need frontcourt beef to match Eastern contenders. A high‑upside power forward and center—such as Perry Jones or Jared Sullinger—would bolster Philadelphia’s rebounding and interior defense.,2012
Utah Jazz,"PG, SF","Without a first‑round pick, Utah’s Round Two selection must be precise. William Buford provides outside shooting and perimeter defense, helping the Jazz’s backcourt balance.",2012
Dallas Mavericks,"PG, PF","Dallas should target the best available guard or forward. Arnett Moultrie can fill frontcourt depth and bring physicality, while a lead guard would boost their playmaking after Terry and Kidd depart.",2012
New York Knicks,"SF, C",New York needs frontcourt reinforcements. A versatile small forward and a rim‑protecting center—players like Jay Crowder or Andre Drummond—would add much‑needed depth.,2012
Orlando Magic,"PG, C",Orlando must rebuild on both ends. A point guard with shooting and playmaking (e.g. Terrence Ross) and a center for interior defense would open up their offense around Dwight Howard.,2012
Denver Nuggets,"PG, PF","Denver could use a floor‑general like Kendall Marshall and a power forward to add athleticism and rebounding, complementing their young backcourt.",2012
Boston Celtics,"SF, SG","Boston’s veterans are aging, so a versatile wing like Moe Harkless—who can guard multiple positions and shoot—provides future two‑way upside.",2012
Atlanta Hawks,"PG, C","The Hawks need youth in the paint and in the backcourt. A prospect such as Meyers Leonard brings rim protection, while a lead guard would energize Atlanta’s offense.",2012
Los Angeles Clippers,"SG, SF",The Clippers seek perimeter shooting and wing play. A sharp‑shooting guard like Jared Cunningham and a small forward for spacing would round out their rotation.,2012
Memphis Grizzlies,"SG, SF",Memphis needs offense off the bench. A two‑way guard/wing like Evan Fournier would boost their scoring and help spread the floor around Marc Gasol.,2012
Los Angeles Lakers,"PG, SF",The Lakers must surround Kobe with playmaking and two‑way wings. A point guard who can push the pace and a defensive‑minded small forward would fit seamlessly.,2012
Indiana Pacers,"C, PF","Indiana can meet increased expectations by drafting a big like Quincy Miller, who offers rebounding and court vision at both power forward and center.",2012
Miami Heat,"PG, C",Miami needs a distributor for LeBron and Wade—Marquis Teague fits that mold—and a center who can protect the rim when Bosh slides to the four.,2012
Oklahoma City Thunder,"SF, PF",OKC’s depth requires versatile forwards. A small forward for spacing and a power forward for toughness would round out Durant and Westbrook’s supporting cast.,2012
San Antonio Spurs,"PG, SF",The Spurs look for role players; a reliable combo guard in Round Two and a wing who can defend multiple positions would maintain their championship caliber.,2012
Chicago Bulls,"SG, SF",Chicago needs backcourt scoring and wing defense. A shooting guard like Doron Lamb and a small forward for perimeter versatility would enhance their rotation.,2012
Boston Celtics,"SG, C","The Celtics need instant bench scoring to spell Pierce and perimeter defense on the wing, plus interior depth behind Perkins and Garnett.",2011
New Jersey Nets,"PF, C","With Deron Williams gone, New Jersey has cap space but needs a versatile power forward and a true center to pair alongside Brook Lopez.",2011
New York Knicks,"PG, SF",The Knicks have cap room but lack a true lead guard and wing scorer; they need playmaking and two‑way perimeter talent.,2011
Philadelphia 76ers,"SF, PF","Philadelphia’s backcourt is solid, but they need small‑forward athleticism alongside Iguodala and power‑forward depth behind Brand.",2011
Toronto Raptors,"PF, C",Toronto boasts perimeter shooting but its frontline is overmatched; adding interior scoring and rebounding is essential.,2011
Chicago Bulls,"SF, PF","Chicago has Rose and Butler, but needs frontcourt toughness—a stretch‑four and energy power forward—to bolster rebounding.",2011
Cleveland Cavaliers,"SF, SG",Cleveland needs a wing with star power and scoring to complement Kyrie Irving and jump‑start a rebuild.,2011
Detroit Pistons,"PF, SF",Detroit’s frontcourt lacks rim protection and scoring punch; they need interior defense and a secondary wing scorer.,2011
Indiana Pacers,"PG, SG","Indiana has frontcourt anchors in Hibbert and Granger, but needs a true lead guard and perimeter scoring guard.",2011
Milwaukee Bucks,"C, SF",Milwaukee needs an interior scoring threat alongside Bogut and an athletic wing to surround Jennings.,2011
Atlanta Hawks,"SG, C",Atlanta needs shooting guard help to complement Crawford and a center to team with Horford.,2011
Charlotte Bobcats,"PF, C","Charlotte’s backcourt is set, but they need a stretch four and a true rim‑running center.",2011
Miami Heat,"PG, C","Miami needs a playmaking point guard to run with Wade, and a young center for rim protection.",2011
Orlando Magic,"SG, PF",Orlando needs a perimeter shooter to space for Dwight Howard and a frontcourt partner alongside him.,2011
Washington Wizards,"PG, SF",Washington needs a true point guard to run its offense and an athletic wing to support Wall.,2011
Dallas Mavericks,"PG, C",Dallas must find a lead guard to replace Terry and an interior defender to back up Nowitzki’s frontcourt.,2011
Houston Rockets,"SF, C",Houston needs a versatile wing to complement Harden and size inside after McHale’s frontcourt injuries.,2011
Memphis Grizzlies,"PG, PF",Memphis needs depth at point guard behind Conley and a power forward who can rebound and defend.,2011
New Orleans Hornets,"C, SG",New Orleans needs a rim protector to replace Chandler and a shooting guard to spot up for Chris Paul.,2011
San Antonio Spurs,"SF, PF",San Antonio needs a young wing to groom for Ginóbili’s role and a developing big man behind Duncan.,2011
Denver Nuggets,"PF, C",Denver’s aging frontcourt requires a scoring power forward and a true center behind Nene.,2011
Minnesota Timberwolves,"SF, SG",Minnesota badly needs a swingman for outside shooting and someone who can create his own shot.,2011
Oklahoma City Thunder,"SG, PF",Oklahoma City needs perimeter shooting around Durant and a bench power forward for depth.,2011
Portland Trail Blazers,"PG, C",Portland needs a true lead guard to replace Outlaw and a center to back up Lopez and Oden.,2011
Utah Jazz,"C, SF",Utah needs a starting center to anchor the defense and an athletic wing to replace Kirilenko.,2011
Golden State Warriors,"C, PG",Golden State needs backcourt orchestration and interior presence to complement its guards.,2011
Los Angeles Clippers,"SF, PF",L.A. needs a small forward for spacing and a stretch four to complement Griffin and Jordan.,2011
Los Angeles Lakers,"SG, SF",Lakers need perimeter scoring and a defensive wing to pair with Kobe and Gasol.,2011
Phoenix Suns,"SF, PF",Phoenix needs a wing scorer beside Nash and a backup big man behind Chandler.,2011
Sacramento Kings,"SG, SF",Sacramento needs backcourt shooting and athletic wing talent to support Cousins and Evans. ,2011
Atlanta Hawks,"C, SG","Atlanta could lose Joe Johnson in free agency and would need a frontline enforcer behind Al Horford and Josh Smith. Their offense was isolation‑heavy, and adding a true post presence and additional shot‑creation on the wing would help balance the attack and replace Joe’s production.",2010
Boston Celtics,"SG, PG","With an aging Big Three, Boston needs a reliable scorer off the bench to spell Pierce or Garnett, and a true backup for Rondo, as Nate Robinson isn’t a long‑term solution.",2010
Charlotte Bobcats,"C, PF","Charlotte is cap‑strapped and without picks. Chandler has a player option likely to decline, so they’ll either extend or trade him. They need a solid frontcourt piece in return—someone they can count on for rebounding and interior defense.",2010
Chicago Bulls,"SF, SG","Chicago has cap space to chase a max‑contract free agent, but whether they land a star or not, they need to boost three‑point shooting and add a go‑to scorer on the wing.",2010
Cleveland Cavaliers,"SF, SG",Cleveland’s sole focus is keeping LeBron James. They also need complementary secondary playmakers—backups or co‑stars who can relieve his heavy scoring load.,2010
Dallas Mavericks,"C, SG","Dallas lacks a true backup center behind Nowitzki and only one late second‑round pick, so they need a long‑term post option and guard depth to relieve Terry or Stevenson.",2010
Denver Nuggets,"C, SG","Denver has no picks this year and only two selections in the past five drafts. They need to acquire draft assets to inject young talent, specifically frontcourt size and perimeter shooting.",2010
Detroit Pistons,"PF, C","After a disappointing season, Detroit eyed DeMarcus Cousins as a high‑upside big. They need interior defense and a rim‑running threat to rejuvenate the frontcourt.",2010
Golden State Warriors,"C, PG",Golden State’s perimeter stars lack a rugged post option and a true lead‑guard. They need size inside to complement Curry and Ellis and a pure point guard to orchestrate the offense.,2010
Houston Rockets,"PF, PG","With Scola, Battier and Yao’s deals expiring next year, Houston should draft a defensive, versatile big and possibly a backup PG if they let Lowry walk.",2010
Indiana Pacers,"PG, SF","Indiana has tried trading their pick for Flynn. They need a true lead guard and perimeter defenders, as Hibbert and incumbents cover the frontcourt.",2010
Los Angeles Clippers,"SF, PG",The Clippers enter draft day with only five guaranteed roster spots. They need a prototypical small forward and depth at point guard behind Baron Davis and Gordon.,2010
Los Angeles Lakers,"PG, PF","Lakers must re‑sign Fisher or Farmar or find a new lead guard. They also need frontline depth, as Bynum, Odom and Gasol all have durability concerns.",2010
Memphis Grizzlies,"PG, PF",Conley’s rookie deal ends; they need a backup point guard with shooting upside and a power‑forward reserve to support Randolph.,2010
Miami Heat,"PF, PG","Miami has cap space to keep Wade and lure another superstar, but still needs frontcourt scoring power and secondary playmaking to build around their core.",2010
Milwaukee Bucks,"C, SG","After surprising in 2009‑10, Milwaukee needs an interior scoring threat alongside Bogut and more reliable backcourt shooters.",2010
Minnesota Timberwolves,"SF, PF",Minnesota overstocked guards last year; they need a true wing starter and athletic frontcourt talent to round out their Jefferson/Love pairing.,2010
New Jersey Nets,"SG, C",New ownership has money and young centers Favors and Lopez; they need a two‑guard scorer and a true center to develop alongside their frontcourt.,2010
New Orleans Hornets,"C, PG","With limited flexibility, New Orleans needs interior athleticism and a rim protector, plus a backup point guard to spell Chris Paul.",2010
New York Knicks,"PG, SF","Knicks have every need: PG, SF, C and perimeter scorers. With cap room and two second‑rounders, they’ll chase a lead guard and wing scorer.",2010
Oklahoma City Thunder,"SG, C",OKC’s young core is strong. They need outside marksmen to space the floor and center depth behind Collison/Krstic.,2010
Orlando Magic,"SG, PF",Orlando could lose Barnes or Redick in free agency; they’ll likely address shooting wings or use their late first‑rounder on a backup power forward.,2010
Philadelphia 76ers,"PG, SG","After trading Dalembert, Philly has the #2 pick. They need a pure point guard and a complementary wing shooter.",2010
Phoenix Suns,"PF, C","Phoenix lacks depth in their frontcourt rotation; they need to draft a PF/C who can rebound, defend and provide interior toughness.",2010
Portland Trail Blazers,"PG, PF",Portland’s drafting inefficiency has left them thin behind Oden/Aldridge. They need a reliable lead guard and frontline reserve.,2010
Sacramento Kings,"SG, PG",Sacramento’s elite backcourt of Evans and Thornton needs a reliable shooter next to Tyreke and a pure point guard with vision.,2010
San Antonio Spurs,"PF, SF",Spurs need a young frontcourt prospect to develop in their system and more three‑point shooting if Hairston or Gee depart.,2010
Toronto Raptors,"C, SG","With Bosh likely gone and Turkoglu demanding a trade, Toronto needs interior toughness and another perimeter scoring threat.",2010
Utah Jazz,"PF, SG","The Jazz could lose Kirilenko and need a PF to back up Millsap, as well as a shooter if Korver walks.",2010
Washington Wizards,"SG, C",Washington has Wall at PG but needs perimeter scoring and frontcourt bodies to protect him and bolster defense.,2010
Atlanta Hawks,"PG, C","Mike Bibby will be an unrestricted free agent and Acie Law may or may not be the point guard of the future for the Hawks, so they will certainly need a point guard. Joe Johnson, Marvin Williams, Josh Smith and Al Horford occupy the 2‑4 positions, but a 7‑footer in the middle would help Smith and Horford.",2009
Boston Celtics,"PG, C","Rajon Rondo is a quality point guard, but the Celtics don’t have any real point guards to back him up. They tried Stephon Marbury, but that experiment isn’t going to last. They have plenty of wing players and big men. Kendrick Perkins is the only true center on the roster, but they will likely re‑sign Glen Davis and Leon Powe. With the amount of quality point guards available in this draft, it is safe to assume the Celtics will take one of them.",2009
Charlotte Bobcats,"SG, PG","The Bobcats have no frontcourt needs at all, as they have Emeka Okafor, Boris Diaw, Gerald Wallace, Vladimir Radmanovic, Nazr Mohammed, DeSagna Diop and Raja Bell all locked up at least through next season. At point guard, they just drafted DJ Augustin last year, but they could lose Raymond Felton (restricted free agent). The one position they could really use is a shooting guard.",2009
Chicago Bulls,"C, SG","The Bulls have really needed a true center for a few years now. Joakim Noah, Tyrus Thomas and Brad Miller can all play inside, but a quality 7‑footer would really give this franchise a boost. Derrick Rose is the future of this team, so there is no need at point guard, especially with Kirk Hinrich also on the roster. Ben Gordon is gone after this season, so a shooting guard is definitely needed.",2009
Cleveland Cavaliers,"C, PF","The Cavs could lose Zydrunas Ilgauskas and Anderson Varejao this summer, as both have player options, so Cleveland could really use some help in the frontcourt. Ben Wallace doesn’t really carry a frontcourt and JJ Hickson has some potential, but the Cavs need to load up on big men.",2009
Dallas Mavericks,"C, PG","The Mavs probably won’t re‑sign Jason Kidd this summer, and Jose Juan Barea and Jason Terry are the two other players who can play point guard, but Dallas could probably use another point guard, preferably a bigger one than Barea. They have a few shooting guards and Dirk Nowitzki and Josh Howard occupy the forward spots, so there aren’t any desperate needs there. Erick Dampier isn’t the best center in the world, and he’s the only one at that position, so a center is the biggest need.",2009
Denver Nuggets,"SG, C, PG","The Nuggets have a point guard (Chauncey Billups), a small forward (Carmelo Anthony) and a power forward (Kenyon Martin), but are lacking at shooting guard and center. JR Smith will be a free agent, leaving a need for a shooting guard. Nene isn’t a true center. Johan Petro isn’t a great player, plus he’s a restricted free agent. The Nuggets also need a point guard to back up Billups.",2009
Detroit Pistons,"C, PF, SF","The Pistons will be getting much younger this offseason when they lose Allen Iverson and Rasheed Wallace. Rodney Stuckey, Richard Hamilton and Tayshaun Prince will be the important players returning next season, but there will be no quality players in the frontcourt. They could re‑sign Jason Maxiell, Kwame Brown has a player option, and they also have Amir Johnson and Walter Sharpe, but even with those players, the Pistons still need at least a center.",2009
Golden State Warriors,"C, PG, PF","Everybody knows the Warriors like to run, so any player they draft has to be agile. They are loaded at the wing positions, so they have no needs at all at shooting guard or small forward. Monta Ellis is not a pure point guard, so a pure point guard would be beneficial. Big men are always a need for the Warriors. Anthony Randolph, Ronny Turiaf and Brandan Wright are their only big men who will definitely be returning next season.",2009
Houston Rockets,"SG, C","With Aaron Brooks and Kyle Lowry, two small point guards, running the plays for the Rockets, they need a big shooting guard to play alongside them. They have a great center in Yao Ming, a couple of decent power forwards, and some quality small forwards with Shane Battier and an aging Tracy McGrady. Plus, Ron Artest could be re‑signed. The only other position the Rockets might be able to use other than shooting guard is a backup 7‑footer.",2009
Indiana Pacers,"PF, C","The Pacers have three point guards, so they certainly won’t draft someone at that position. Danny Granger, Mike Dunleavy, Brandon Rush and Marquis Daniels (if the team picks up his option) occupy the wing positions. At power forward and center, all the Pacers have returning are Roy Hibbert, Troy Murphy and Jeff Foster. They could use some quality big men.",2009
Los Angeles Clippers,"SF, SG","The Clippers have plenty of big men with Zach Randolph, Chris Kaman, Marcus Camby, DeAndre Jordan and Al Thornton (can play either forward position). At point guard, they have Baron Davis, Eric Gordon, Mike Taylor and Mardy Collins (Gordon, Taylor and Collins can all play either guard position). At small forward, the Clippers only have Thornton. They need a small forward and/or a big shooting guard.",2009
Los Angeles Lakers,"C, PF, PG","It’s difficult to say what a team as good and as deep as the Lakers really needs. Lamar Odom will be a free agent, so a small forward would be helpful, but they have a few other decent players at that position. Derek Fisher only has one year left on his contract and Jordan Farmar isn’t an incredible pure point guard, so a point guard is probably the biggest need for this team. Andrew Bynum and Pau Gasol are great players in the frontcourt, but there isn’t really any depth there, especially with Odom probably leaving.",2009
Memphis Grizzlies,"C, SF","The Grizzlies are building their team around OJ Mayo and Rudy Gay. Mike Conley is also a promising young point guard. Marc Gasol and Darrell Arthur are quality young power forwards, but there isn’t a real quality center on the roster.",2009
Miami Heat,"SF, PG, C","The Heat are loaded up on power forwards (some of which can play center) and shooting guards. Mario Chalmers and Chris Quinn (player option) are the point guards, but there are no small forwards returning. A big wing player, another point guard, and maybe a young 7‑footer are the needs for the Heat.",2009
Milwaukee Bucks,"PG, C, PF","The Bucks have some quality wing players with Michael Redd, Richard Jefferson, Joe Alexander and Charlie Bell. This team is in desperate need of a point guard, with Luke Ridnour as the only player at this position. At power forward and center, Andrew Bogut and Dan Gadzuric are the only players already under contract for next season.",2009
Minnesota Timberwolves,"PG, SG, C","The Wolves have two good young big men in Al Jefferson and Kevin Love, but not much depth at center. They have Sebastian Telfair and Randy Foye as point guards, but a bigger pure point guard would be useful. The Wolves also lack a big shooting guard. Foye is a small shooting guard, while Corey Brewer is more of a small forward.",2009
New Jersey Nets,"PG, C","Devin Harris is a free agent this summer, so the Nets may need a new point guard. They have plenty of wings returning next year with Vince Carter, Bobby Simmons, Chris Douglas‑Roberts (team option), and a few other bench players. At power forward, they have Yi Jianlian, Brook Lopez, Sean Williams, Josh Boone and Ryan Anderson, so the Nets don’t want to select a big man unless it’s a true center.",2009
New Orleans Hornets,"C, PG","Chris Paul is quite capable at point guard, but he could use a backup. The Hornets have five capable wing players, so there aren’t any needs there. David West is solid at power forward, but Tyson Chandler will likely be traded in the offseason, so they will need a center.",2009
New York Knicks,"SG, C","The Knicks may not lose too many players this offseason. Their only major player who is an unrestricted free agent is Chris Wilcox. Nate Robinson and David Lee are restricted free agents, and the Knicks may or may not re‑sign those two guys. Eddy Curry, Al Harrington and Quentin Richardson all have player options, but it would make sense that those three guys would exercise their options. The Knicks are in complete rebuilding mode and could use a lot of help.",2009
Oklahoma City Thunder,"SG, C","The Thunder are building around Kevin Durant, Jeff Green and Russell Westbrook, so a shooting guard and center would fill in their holes. This franchise has had some trouble drafting centers over the last few years, so they may not be willing to take a risk for a center, especially when they have Nick Collison and Nenad Krstic, two guys who can do a decent job.",2009
Orlando Magic,"PF, C","Dwight Howard and Tony Battie are the only inside players for the Magic, as Rashard Lewis and Hedo Turkoglu are naturally small forwards. Therefore, this team could use some more depth at power forward and center. They are solid at point guard. Courtney Lee, Mickael Pietrus and JJ Redick are the shooting guards, all of which are decent but not exceptional.",2009
Philadelphia 76ers,"PG, SG, SF","The Sixers are loaded in the frontcourt with big men Elton Brand, Samuel Dalembert, Reggie Evans, Marreese Speights and Jason Smith. They have Thaddeus Young and Andre Iguodala at the wings. Andre Miller is a free agent and Lou Williams isn’t a pure point guard, so they’re going to need a pure point guard. They also need some shooters, as there aren’t many Sixers players who can consistently knock down 3‑pointers.",2009
Phoenix Suns,"SF, PF, SG","It’s difficult to say who will or will not be back next season for the Suns, but no matter what happens, they need a small forward. After that, it depends on what happens in the offseason, but they will probably need another power forward and maybe another shooting guard.",2009
Portland Trail Blazers,"PG, PF","The Blazers don’t have a lot of needs, as they have a deep, young team that is solid all around. Jerryd Bayless is not a pure point guard and Steve Blake is not a great point guard, so that is a position they could use. Channing Frye is a restricted free agent, so they could use another power forward in case he isn’t with the team next year.",2009
Sacramento Kings,"PG, C","The Kings are in rebuilding mode, and they have plenty of wings and power forwards, but they definitely need some point guards and centers. Kevin Martin, Francisco Garcia, Spencer Hawes and Jason Thompson are the future of this team, but they need a lot of help around them.",2009
San Antonio Spurs,"SF, PF, C","The Spurs are set at point guard with Tony Parker and George Hill, and at shooting guard with Manu Ginóbili, Roger Mason and Bruce Bowen. But they don’t have any real small forwards under contract for next season. Tim Duncan, Fabricio Oberto, Kurt Thomas and Matt Bonner make up the frontcourt, but they could use a young big man.",2009
Toronto Raptors,"SG, C, PF","The Raptors looked like an up‑and‑coming franchise a year or two ago, but that’s not the case anymore. They have some solid big men with Chris Bosh and Andrea Bargnani, but it is unknown if Shawn Marion will be re‑signed. José Calderón is a solid point guard, but Marcus Banks is the only backup. There aren’t really any returning quality wing players. The Raptors need a lot of help.",2009
Utah Jazz,"PF, C, SG","The Jazz have some question marks in the frontcourt, as Carlos Boozer and Mehmet Okur both could opt out at the end of the season. Without them, Kosta Koufos is the only big man they would have, so the Jazz certainly need to add another inside presence or two. They have Deron Williams at point guard and a few options at small forward, but Ronnie Brewer is the only option at shooting guard.",2009
Washington Wizards,"PG, PG","The Wizards had a terrible season, but the good news is that virtually their entire roster is returning next season. Their biggest need is certainly at point guard, where they have Gilbert Arenas (not a pure point guard), Mike James (player option) and Javaris Crittenton. They have plenty of returning players at every other position, so it’s difficult to choose another position they need to draft someone at.",2009
